Id	5_Fold	Genre	Song
1	1	blu	blues.00000.wav
2	2	blu	blues.00001.wav
3	3	blu	blues.00004.wav
4	4	blu	blues.00005.wav
5	5	blu	blues.00007.wav
6	1	blu	blues.00008.wav
7	2	blu	blues.00012.wav
8	3	blu	blues.00013.wav
9	4	blu	blues.00019.wav
10	5	blu	blues.00024.wav
11	1	blu	blues.00025.wav
12	2	blu	blues.00030.wav
13	3	blu	blues.00032.wav
14	4	blu	blues.00043.wav
15	5	blu	blues.00047.wav
16	1	blu	blues.00050.wav
17	2	blu	blues.00060.wav
18	3	blu	blues.00061.wav
19	4	blu	blues.00062.wav
20	5	blu	blues.00063.wav
21	1	blu	blues.00065.wav
22	2	blu	blues.00067.wav
23	3	blu	blues.00069.wav
24	4	blu	blues.00070.wav
25	5	blu	blues.00071.wav
26	1	blu	blues.00072.wav
27	2	blu	blues.00073.wav
28	3	blu	blues.00075.wav
29	4	blu	blues.00076.wav
30	5	blu	blues.00077.wav
1	1	cla	classical.00001.wav
2	2	cla	classical.00002.wav
3	3	cla	classical.00005.wav
4	4	cla	classical.00006.wav
5	5	cla	classical.00007.wav
6	1	cla	classical.00022.wav
7	2	cla	classical.00023.wav
8	3	cla	classical.00026.wav
9	4	cla	classical.00039.wav
10	5	cla	classical.00041.wav
11	1	cla	classical.00049.wav
12	2	cla	classical.00052.wav
13	3	cla	classical.00053.wav
14	4	cla	classical.00054.wav
15	5	cla	classical.00058.wav
16	1	cla	classical.00060.wav
17	2	cla	classical.00063.wav
18	3	cla	classical.00070.wav
19	4	cla	classical.00071.wav
20	5	cla	classical.00072.wav
21	1	cla	classical.00074.wav
22	2	cla	classical.00075.wav
23	3	cla	classical.00076.wav
24	4	cla	classical.00078.wav
25	5	cla	classical.00079.wav
26	1	cla	classical.00084.wav
27	2	cla	classical.00086.wav
28	3	cla	classical.00090.wav
29	4	cla	classical.00091.wav
30	5	cla	classical.00092.wav
1	1	cou	country.00001.wav
2	2	cou	country.00004.wav
3	3	cou	country.00005.wav
4	4	cou	country.00007.wav
5	5	cou	country.00010.wav
